,narrative,start_date,end_date,count
146,guaido/legitimate,2019-01-13,2019-01-17,43102
147,maduro/legitimate,2019-01-13,2019-01-17,18727
148,protests,2019-01-13,2019-01-17,59254
149,arrests,2019-01-13,2019-01-17,28275
150,crisis,2019-01-13,2019-01-17,29877
151,other/anti_socialism,2019-01-13,2019-01-17,5277
152,military,2019-01-14,2019-01-18,60949
153,assembly,2019-01-14,2019-01-18,37684
154,guaido/legitimate,2019-01-14,2019-01-18,38711
155,maduro/legitimate,2019-01-14,2019-01-18,19481
156,protests,2019-01-14,2019-01-18,60444
157,arrests,2019-01-14,2019-01-18,7594
158,crisis,2019-01-14,2019-01-18,18702
159,other/anti_socialism,2019-01-14,2019-01-18,6799
160,military,2019-01-15,2019-01-19,56511
161,assembly,2019-01-15,2019-01-19,32797
162,guaido/legitimate,2019-01-15,2019-01-19,44579
163,maduro/legitimate,2019-01-15,2019-01-19,13581
164,protests,2019-01-15,2019-01-19,62556
165,arrests,2019-01-15,2019-01-19,4479
166,crisis,2019-01-15,2019-01-19,18421
167,other/anti_socialism,2019-01-15,2019-01-19,8449
168,military,2019-01-16,2019-01-20,39666
169,assembly,2019-01-16,2019-01-20,26001
170,guaido/legitimate,2019-01-16,2019-01-20,40615
171,maduro/legitimate,2019-01-16,2019-01-20,8277
172,protests,2019-01-16,2019-01-20,71739
173,arrests,2019-01-16,2019-01-20,2850
174,crisis,2019-01-16,2019-01-20,18474
175,other/anti_socialism,2019-01-16,2019-01-20,8077
176,military,2019-01-17,2019-01-21,31955
177,assembly,2019-01-17,2019-01-21,19288
178,guaido/legitimate,2019-01-17,2019-01-21,38003
179,maduro/legitimate,2019-01-17,2019-01-21,6704
180,protests,2019-01-17,2019-01-21,80916
181,arrests,2019-01-17,2019-01-21,2345
182,crisis,2019-01-17,2019-01-21,19169
183,other/anti_socialism,2019-01-17,2019-01-21,7890
184,military,2019-01-18,2019-01-22,193096
185,assembly,2019-01-18,2019-01-22,30539
186,guaido/legitimate,2019-01-18,2019-01-22,63823
187,maduro/legitimate,2019-01-18,2019-01-22,8626
188,protests,2019-01-18,2019-01-22,173734
189,arrests,2019-01-18,2019-01-22,12559
190,crisis,2019-01-18,2019-01-22,32862
191,other/anti_socialism,2019-01-18,2019-01-22,6904
192,military,2019-01-19,2019-01-23,294990
193,assembly,2019-01-19,2019-01-23,55084
194,guaido/legitimate,2019-01-19,2019-01-23,75273
195,maduro/legitimate,2019-01-19,2019-01-23,12920
196,protests,2019-01-19,2019-01-23,324550
197,arrests,2019-01-19,2019-01-23,38479
198,crisis,2019-01-19,2019-01-23,57981
199,other/anti_socialism,2019-01-19,2019-01-23,6931
200,military,2019-01-20,2019-01-24,589751
201,assembly,2019-01-20,2019-01-24,102992
202,guaido/legitimate,2019-01-20,2019-01-24,379141
203,maduro/legitimate,2019-01-20,2019-01-24,69281
204,protests,2019-01-20,2019-01-24,1019858
205,arrests,2019-01-20,2019-01-24,111579
206,crisis,2019-01-20,2019-01-24,94503
207,other/anti_socialism,2019-01-20,2019-01-24,28722
208,military,2019-01-21,2019-01-25,804685
209,assembly,2019-01-21,2019-01-25,109891
210,guaido/legitimate,2019-01-21,2019-01-25,555782
211,maduro/legitimate,2019-01-21,2019-01-25,144515
212,protests,2019-01-21,2019-01-25,1222835
213,arrests,2019-01-21,2019-01-25,158710
214,crisis,2019-01-21,2019-01-25,113404
215,other/anti_socialism,2019-01-21,2019-01-25,51344
216,military,2019-01-22,2019-01-26,733483
217,assembly,2019-01-22,2019-01-26,111190
218,guaido/legitimate,2019-01-22,2019-01-26,618628
219,maduro/legitimate,2019-01-22,2019-01-26,169271
220,protests,2019-01-22,2019-01-26,1193740
221,arrests,2019-01-22,2019-01-26,188715
222,crisis,2019-01-22,2019-01-26,122625
223,other/anti_socialism,2019-01-22,2019-01-26,57281
224,military,2019-01-23,2019-01-27,697816
225,assembly,2019-01-23,2019-01-27,96976
226,guaido/legitimate,2019-01-23,2019-01-27,692657
227,maduro/legitimate,2019-01-23,2019-01-27,179613
228,protests,2019-01-23,2019-01-27,1080421
229,arrests,2019-01-23,2019-01-27,213630
230,crisis,2019-01-23,2019-01-27,134413
231,other/anti_socialism,2019-01-23,2019-01-27,59749
232,military,2019-01-24,2019-01-28,510482
233,assembly,2019-01-24,2019-01-28,47260
234,guaido/legitimate,2019-01-24,2019-01-28,428450
235,maduro/legitimate,2019-01-24,2019-01-28,135135
236,protests,2019-01-24,2019-01-28,428878
237,arrests,2019-01-24,2019-01-28,243379
238,crisis,2019-01-24,2019-01-28,106029
239,other/anti_socialism,2019-01-24,2019-01-28,43252
240,military,2019-01-25,2019-01-29,370575
241,assembly,2019-01-25,2019-01-29,37074
242,guaido/legitimate,2019-01-25,2019-01-29,271372
243,maduro/legitimate,2019-01-25,2019-01-29,69492
244,protests,2019-01-25,2019-01-29,280171
245,arrests,2019-01-25,2019-01-29,246349
246,crisis,2019-01-25,2019-01-29,90552
247,other/anti_socialism,2019-01-25,2019-01-29,22601
248,military,2019-01-26,2019-01-30,334194
249,assembly,2019-01-26,2019-01-30,20676
250,guaido/legitimate,2019-01-26,2019-01-30,182186
251,maduro/legitimate,2019-01-26,2019-01-30,47490
252,protests,2019-01-26,2019-01-30,212390
253,arrests,2019-01-26,2019-01-30,282731
254,crisis,2019-01-26,2019-01-30,69377
255,other/anti_socialism,2019-01-26,2019-01-30,18353
256,military,2019-01-27,2019-01-31,355460
257,assembly,2019-01-27,2019-01-31,22045
258,guaido/legitimate,2019-01-27,2019-01-31,118189
259,maduro/legitimate,2019-01-27,2019-01-31,43131
260,protests,2019-01-27,2019-01-31,258417
261,arrests,2019-01-27,2019-01-31,294436
262,crisis,2019-01-27,2019-01-31,38626
263,other/anti_socialism,2019-01-27,2019-01-31,20226
264,military,2019-01-29,2019-02-02,214375
265,assembly,2019-01-29,2019-02-02,21043
266,guaido/legitimate,2019-01-29,2019-02-02,86605
267,maduro/legitimate,2019-01-29,2019-02-02,31794
268,protests,2019-01-29,2019-02-02,146193
269,arrests,2019-01-29,2019-02-02,184841
270,crisis,2019-01-29,2019-02-02,33260
271,other/anti_socialism,2019-01-29,2019-02-02,13069
272,military,2019-01-30,2019-02-03,149131
273,assembly,2019-01-30,2019-02-03,19446
274,guaido/legitimate,2019-01-30,2019-02-03,78669
275,maduro/legitimate,2019-01-30,2019-02-03,25002
276,protests,2019-01-30,2019-02-03,135992
277,arrests,2019-01-30,2019-02-03,107374
278,crisis,2019-01-30,2019-02-03,29069
279,other/anti_socialism,2019-01-30,2019-02-03,10035
