,narrative,start_date,end_date,count,am_count,pm_count,un_count
73,assembly,2019-01-04,2019-01-05,617,575,1,41
74,guaido/legitimate,2019-01-04,2019-01-05,323,186,122,15
75,maduro/legitimate,2019-01-04,2019-01-05,450,32,417,1
76,protests,2019-01-04,2019-01-05,426,275,50,101
77,arrests,2019-01-04,2019-01-05,404,291,1,112
78,crisis,2019-01-04,2019-01-05,1121,499,59,563
79,other/anti_socialism,2019-01-04,2019-01-05,617,524,31,62
80,military,2019-01-05,2019-01-06,2184,882,632,670
81,assembly,2019-01-05,2019-01-06,1364,1118,102,144
82,guaido/legitimate,2019-01-05,2019-01-06,3507,3295,82,130
83,maduro/legitimate,2019-01-05,2019-01-06,816,23,793,0
84,protests,2019-01-05,2019-01-06,979,608,10,361
85,arrests,2019-01-05,2019-01-06,288,224,2,62
86,crisis,2019-01-05,2019-01-06,966,522,51,393
87,other/anti_socialism,2019-01-05,2019-01-06,507,431,25,51
88,military,2019-01-06,2019-01-07,2651,1326,773,552
89,assembly,2019-01-06,2019-01-07,360,281,62,17
90,guaido/legitimate,2019-01-06,2019-01-07,3064,2991,51,22
91,maduro/legitimate,2019-01-06,2019-01-07,903,28,873,2
92,protests,2019-01-06,2019-01-07,893,429,29,435
93,arrests,2019-01-06,2019-01-07,1003,963,4,36
94,crisis,2019-01-06,2019-01-07,772,291,11,470
95,other/anti_socialism,2019-01-06,2019-01-07,247,151,87,9
96,military,2019-01-07,2019-01-08,3460,1320,1521,619
97,assembly,2019-01-07,2019-01-08,1008,881,112,15
98,guaido/legitimate,2019-01-07,2019-01-08,593,444,58,91
99,maduro/legitimate,2019-01-07,2019-01-08,1966,27,1935,4
100,protests,2019-01-07,2019-01-08,1256,1001,34,221
101,arrests,2019-01-07,2019-01-08,654,570,22,62
102,crisis,2019-01-07,2019-01-08,2408,1001,79,1328
103,other/anti_socialism,2019-01-07,2019-01-08,469,317,117,35
104,military,2019-01-08,2019-01-09,6217,1554,3757,906
105,assembly,2019-01-08,2019-01-09,782,344,423,15
106,guaido/legitimate,2019-01-08,2019-01-09,649,304,72,273
107,maduro/legitimate,2019-01-08,2019-01-09,3326,58,3267,1
108,protests,2019-01-08,2019-01-09,2167,1948,107,112
109,arrests,2019-01-08,2019-01-09,774,367,373,34
110,crisis,2019-01-08,2019-01-09,1635,665,89,881
111,other/anti_socialism,2019-01-08,2019-01-09,333,260,64,9
112,military,2019-01-09,2019-01-10,20085,12016,4760,3309
113,assembly,2019-01-09,2019-01-10,426,317,93,16
114,guaido/legitimate,2019-01-09,2019-01-10,809,543,216,50
115,maduro/legitimate,2019-01-09,2019-01-10,5499,84,5411,4
116,protests,2019-01-09,2019-01-10,13252,7850,861,4541
117,arrests,2019-01-09,2019-01-10,721,651,44,26
118,crisis,2019-01-09,2019-01-10,4051,3378,50,623
119,other/anti_socialism,2019-01-09,2019-01-10,430,352,65,13
120,military,2019-01-10,2019-01-11,32462,19444,11746,1272
121,assembly,2019-01-10,2019-01-11,10793,10719,21,53
122,guaido/legitimate,2019-01-10,2019-01-11,6486,4735,1567,184
123,maduro/legitimate,2019-01-10,2019-01-11,15195,291,14830,74
124,protests,2019-01-10,2019-01-11,12761,10297,409,2055
125,arrests,2019-01-10,2019-01-11,1094,1041,4,49
126,crisis,2019-01-10,2019-01-11,5611,4966,48,597
127,other/anti_socialism,2019-01-10,2019-01-11,1765,1521,199,45
128,military,2019-01-11,2019-01-12,32992,17828,12815,2349
129,assembly,2019-01-11,2019-01-12,12462,12083,129,250
130,guaido/legitimate,2019-01-11,2019-01-12,25315,23158,1517,640
131,maduro/legitimate,2019-01-11,2019-01-12,10819,262,10545,12
132,protests,2019-01-11,2019-01-12,18487,16466,626,1395
133,arrests,2019-01-11,2019-01-12,6056,5921,32,103
134,crisis,2019-01-11,2019-01-12,3942,2308,402,1232
135,other/anti_socialism,2019-01-11,2019-01-12,867,631,157,79
136,military,2019-01-12,2019-01-13,13062,9100,2524,1438
137,assembly,2019-01-12,2019-01-13,6287,6146,28,113
138,guaido/legitimate,2019-01-12,2019-01-13,18156,17043,883,230
139,maduro/legitimate,2019-01-12,2019-01-13,3590,128,3461,1
140,protests,2019-01-12,2019-01-13,12820,11242,331,1247
141,arrests,2019-01-12,2019-01-13,1477,1420,9,48
142,crisis,2019-01-12,2019-01-13,2273,1337,164,772
143,other/anti_socialism,2019-01-12,2019-01-13,832,518,119,195
144,military,2019-01-13,2019-01-14,19696,16549,1395,1752
145,assembly,2019-01-13,2019-01-14,16084,16002,21,61
146,guaido/legitimate,2019-01-13,2019-01-14,12649,11952,340,357
147,maduro/legitimate,2019-01-13,2019-01-14,1342,34,1306,2
148,protests,2019-01-13,2019-01-14,13028,11920,286,822
149,arrests,2019-01-13,2019-01-14,21367,20906,129,332
150,crisis,2019-01-13,2019-01-14,13600,5758,85,7757
151,other/anti_socialism,2019-01-13,2019-01-14,803,488,239,76
152,military,2019-01-14,2019-01-15,10712,6436,3155,1121
153,assembly,2019-01-14,2019-01-15,9806,9768,19,19
154,guaido/legitimate,2019-01-14,2019-01-15,5803,5399,265,139
155,maduro/legitimate,2019-01-14,2019-01-15,6836,150,6686,0
156,protests,2019-01-14,2019-01-15,21676,12800,1526,7350
157,arrests,2019-01-14,2019-01-15,3550,3322,106,122
158,crisis,2019-01-14,2019-01-15,5080,2149,425,2506
159,other/anti_socialism,2019-01-14,2019-01-15,1129,660,134,335
160,military,2019-01-15,2019-01-16,22948,11705,9490,1753
161,assembly,2019-01-15,2019-01-16,11703,11263,181,259
162,guaido/legitimate,2019-01-15,2019-01-16,11959,10869,738,352
163,maduro/legitimate,2019-01-15,2019-01-16,7024,111,6901,12
164,protests,2019-01-15,2019-01-16,15446,12391,657,2398
165,arrests,2019-01-15,2019-01-16,2133,1968,44,121
166,crisis,2019-01-15,2019-01-16,8093,3859,593,3641
167,other/anti_socialism,2019-01-15,2019-01-16,1673,1127,359,187
168,military,2019-01-16,2019-01-17,15437,3886,10445,1106
169,assembly,2019-01-16,2019-01-17,10616,10198,73,345
170,guaido/legitimate,2019-01-16,2019-01-17,12196,11676,335,185
171,maduro/legitimate,2019-01-16,2019-01-17,3313,45,3262,6
172,protests,2019-01-16,2019-01-17,8922,7116,351,1455
173,arrests,2019-01-16,2019-01-17,972,845,56,71
174,crisis,2019-01-16,2019-01-17,2977,1239,274,1464
175,other/anti_socialism,2019-01-16,2019-01-17,1634,1317,266,51
176,military,2019-01-17,2019-01-18,11594,6230,4312,1052
177,assembly,2019-01-17,2019-01-18,5421,5186,129,106
178,guaido/legitimate,2019-01-17,2019-01-18,8391,7949,318,124
179,maduro/legitimate,2019-01-17,2019-01-18,2097,54,2039,4
180,protests,2019-01-17,2019-01-18,14198,12742,350,1106
181,arrests,2019-01-17,2019-01-18,846,747,18,81
182,crisis,2019-01-17,2019-01-18,2419,884,209,1326
183,other/anti_socialism,2019-01-17,2019-01-18,2319,2041,250,28
184,military,2019-01-18,2019-01-19,6289,2882,2275,1132
185,assembly,2019-01-18,2019-01-19,4911,4509,101,301
186,guaido/legitimate,2019-01-18,2019-01-19,11703,10708,394,601
187,maduro/legitimate,2019-01-18,2019-01-19,1050,27,1023,0
188,protests,2019-01-18,2019-01-19,23798,17992,413,5393
189,arrests,2019-01-18,2019-01-19,470,378,21,71
190,crisis,2019-01-18,2019-01-19,4812,2780,437,1595
191,other/anti_socialism,2019-01-18,2019-01-19,2783,2248,505,30
192,military,2019-01-19,2019-01-20,6119,3794,1508,817
193,assembly,2019-01-19,2019-01-20,4935,4172,643,120
194,guaido/legitimate,2019-01-19,2019-01-20,8056,7021,832,203
195,maduro/legitimate,2019-01-19,2019-01-20,1732,53,1678,1
196,protests,2019-01-19,2019-01-20,24604,20100,801,3703
197,arrests,2019-01-19,2019-01-20,513,432,8,73
198,crisis,2019-01-19,2019-01-20,8149,6626,99,1424
199,other/anti_socialism,2019-01-19,2019-01-20,1299,858,390,51
200,military,2019-01-20,2019-01-21,7705,3990,2808,907
201,assembly,2019-01-20,2019-01-21,3918,3373,237,308
202,guaido/legitimate,2019-01-20,2019-01-21,9594,8930,388,276
203,maduro/legitimate,2019-01-20,2019-01-21,1740,25,1714,1
204,protests,2019-01-20,2019-01-21,18088,15322,726,2040
205,arrests,2019-01-20,2019-01-21,462,406,6,50
206,crisis,2019-01-20,2019-01-21,3650,2390,50,1210
207,other/anti_socialism,2019-01-20,2019-01-21,1448,558,299,591
208,military,2019-01-21,2019-01-22,172396,118179,16362,37855
209,assembly,2019-01-21,2019-01-22,16638,14597,280,1761
210,guaido/legitimate,2019-01-21,2019-01-22,34178,32822,713,643
211,maduro/legitimate,2019-01-21,2019-01-22,4025,40,3903,82
212,protests,2019-01-21,2019-01-22,106942,89531,1528,15883
213,arrests,2019-01-21,2019-01-22,11020,10725,63,232
214,crisis,2019-01-21,2019-01-22,16095,13723,548,1824
215,other/anti_socialism,2019-01-21,2019-01-22,1330,536,656,138
216,military,2019-01-22,2019-01-23,108061,87072,10010,10979
217,assembly,2019-01-22,2019-01-23,29446,28024,363,1059
218,guaido/legitimate,2019-01-22,2019-01-23,23147,21287,1144,716
219,maduro/legitimate,2019-01-22,2019-01-23,5325,79,5089,157
220,protests,2019-01-22,2019-01-23,174453,142983,3153,28317
221,arrests,2019-01-22,2019-01-23,26369,26038,77,254
222,crisis,2019-01-22,2019-01-23,29887,23061,2483,4343
223,other/anti_socialism,2019-01-22,2019-01-23,2799,1147,1316,336
224,military,2019-01-23,2019-01-24,300352,259587,16317,24448
225,assembly,2019-01-23,2019-01-24,52732,52236,346,150
226,guaido/legitimate,2019-01-23,2019-01-24,310544,304318,3895,2331
227,maduro/legitimate,2019-01-23,2019-01-24,57889,1941,55384,564
228,protests,2019-01-23,2019-01-24,719117,631371,10578,77168
229,arrests,2019-01-23,2019-01-24,73531,72807,308,416
230,crisis,2019-01-23,2019-01-24,44486,39084,1525,3877
231,other/anti_socialism,2019-01-23,2019-01-24,22965,19836,1611,1518
232,military,2019-01-24,2019-01-25,222204,162674,34143,25387
233,assembly,2019-01-24,2019-01-25,10784,10298,440,46
234,guaido/legitimate,2019-01-24,2019-01-25,185445,176792,6377,2276
235,maduro/legitimate,2019-01-24,2019-01-25,76659,1321,75277,61
236,protests,2019-01-24,2019-01-25,220745,191458,5229,24058
237,arrests,2019-01-24,2019-01-25,47539,45928,842,769
238,crisis,2019-01-24,2019-01-25,22326,14455,765,7106
239,other/anti_socialism,2019-01-24,2019-01-25,23908,20011,1946,1951
240,military,2019-01-25,2019-01-26,101355,72330,16271,12754
241,assembly,2019-01-25,2019-01-26,17939,17444,139,356
242,guaido/legitimate,2019-01-25,2019-01-26,96729,92031,2568,2130
243,maduro/legitimate,2019-01-25,2019-01-26,28669,1155,27457,57
244,protests,2019-01-25,2019-01-26,77819,66658,2683,8478
245,arrests,2019-01-25,2019-01-26,41014,39786,355,873
246,crisis,2019-01-25,2019-01-26,25220,20581,518,4121
247,other/anti_socialism,2019-01-25,2019-01-26,7208,5630,1145,433
248,military,2019-01-26,2019-01-27,72369,58088,9550,4731
249,assembly,2019-01-26,2019-01-27,15222,14591,379,252
250,guaido/legitimate,2019-01-26,2019-01-27,96895,92092,3679,1124
251,maduro/legitimate,2019-01-26,2019-01-27,15612,1483,14119,10
252,protests,2019-01-26,2019-01-27,61233,55394,2935,2904
253,arrests,2019-01-26,2019-01-27,51269,50327,75,867
254,crisis,2019-01-26,2019-01-27,41617,34618,400,6599
255,other/anti_socialism,2019-01-26,2019-01-27,5227,3705,1336,186
256,military,2019-01-27,2019-01-28,113322,68519,36786,8017
257,assembly,2019-01-27,2019-01-28,3135,2953,45,137
258,guaido/legitimate,2019-01-27,2019-01-28,47567,45212,1528,827
259,maduro/legitimate,2019-01-27,2019-01-28,13570,288,13282,0
260,protests,2019-01-27,2019-01-28,68354,62375,2071,3908
261,arrests,2019-01-27,2019-01-28,103305,101872,44,1389
262,crisis,2019-01-27,2019-01-28,16227,13092,337,2798
263,other/anti_socialism,2019-01-27,2019-01-28,6572,5057,1283,232
264,military,2019-01-28,2019-01-29,82499,34208,44441,3850
265,assembly,2019-01-28,2019-01-29,655,633,15,7
266,guaido/legitimate,2019-01-28,2019-01-29,29044,27552,772,720
267,maduro/legitimate,2019-01-28,2019-01-29,11286,827,10458,1
268,protests,2019-01-28,2019-01-29,72316,67153,770,4393
269,arrests,2019-01-28,2019-01-29,50518,49676,45,797
270,crisis,2019-01-28,2019-01-29,7042,3862,164,3016
271,other/anti_socialism,2019-01-28,2019-01-29,3386,2839,433,114
272,military,2019-01-29,2019-01-30,64924,27894,34950,2080
273,assembly,2019-01-29,2019-01-30,1569,1405,130,34
274,guaido/legitimate,2019-01-29,2019-01-30,7775,7025,559,191
275,maduro/legitimate,2019-01-29,2019-01-30,6739,127,6610,2
276,protests,2019-01-29,2019-01-30,10149,7834,593,1722
277,arrests,2019-01-29,2019-01-30,77368,76448,61,859
278,crisis,2019-01-29,2019-01-30,4113,3286,165,662
279,other/anti_socialism,2019-01-29,2019-01-30,2993,2375,545,73
280,military,2019-01-31,2019-02-01,47809,17942,25082,4785
281,assembly,2019-01-31,2019-02-01,2702,2584,76,42
282,guaido/legitimate,2019-01-31,2019-02-01,41863,40667,535,661
283,maduro/legitimate,2019-01-31,2019-02-01,12581,90,12481,10
284,protests,2019-01-31,2019-02-01,26605,20437,4708,1460
285,arrests,2019-01-31,2019-02-01,42872,41010,1428,434
286,crisis,2019-01-31,2019-02-01,13530,9369,322,3839
287,other/anti_socialism,2019-01-31,2019-02-01,2677,1956,484,237
